product_id,product_name,aisle_id,department_id,suggested_products,suggested_pro_aisle_id,suggested_prod_dept,suggested_prod_id
245,poppy seed bagels,93,3," seed blue corn dipping chips,raisin cinnamon bagels count,sliced onion bagels,lite poppy seed dressing lite","[107, 58, 93, 89]","[19, 1, 3, 13]","[225, 46, 836, 286]"
246,triple acting laundry stain remover,75,17," in laundry detergent,pods spring meadow detergent stain remover brightener,stain release boost in wash stain remover pacs,laundry soil stain remover","[75, 75, 75, 75]","[17, 17, 17, 17]","[924, 724, 134, 416]"
247,perfectly thymed pita crisps baked,107,19,"garlic parmesan pita bread chips,country style baked beans, whole wheat pita bread,baked rice crisps sour cream wasabi medium","[107, 59, 128, 78]","[19, 15, 3, 19]","[166, 181, 83, 902]"
248,dried sweetened cranberries,117,19,"freeze dried edamame veggie snack,dried parsley flakes,cranberry almond fruit clusters dried cranberries,organic dried cranberries","[50, 104, 125, 117]","[19, 13, 19, 19]","[508, 884, 549, 775]"
249,pinot grigio california ,62,5,"pink moscato california,cabernet sauvignon california,organic california blend,california merlot","[6, 28, 116, 28]","[2, 5, 1, 5]","[713, 598, 634, 837]"
250,authentic deep dish spinach garlic pizza,79,1,"ristorante pizza spinaci thin crust pizza,spinach pesto,pizza for one suprema frozen pizza,spinach basil garlic linguini","[79, 9, 79, 12]","[1, 9, 1, 9]","[356, 813, 18, 76]"
251,extra strength melatonin adult gummies,47,11,"biotin mcg maximum strength,extra sharp cheddar cheese,chewables extra strength cherry creme ct,extra strength berry","[47, 21, 70, 64]","[11, 16, 11, 7]","[301, 169, 295, 345]"
252,waffles red berry,121,14,"red roses,organic mini homestyle waffles,rio berry,belgian waffles","[87, 52, 64, 52]","[17, 1, 7, 1]","[573, 162, 266, 536]"
253,organic vegetable greens greens juice blend,31,7,"organic california blend,organic vegetable tray, cranberry juice blend,power greens","[116, 83, 98, 31]","[1, 4, 7, 7]","[634, 784, 806, 872]"
254,honey mustard,72,13,"almond honey protein bar,honey glazed carrots,deli spicy brown mustard,organic honey mustard","[3, 116, 72, 72]","[19, 1, 13, 13]","[445, 373, 977, 810]"
255,cold remedy quick dissolve tablets cherry flavor,11,11,"rescue remedy spray,prenatal one tablets,cold cough formula effervescent tablets citrus,rescue remedy","[11, 47, 11, 6]","[11, 11, 11, 2]","[203, 645, 914, 535]"
256,island fruits fruit snacks,50,19,"scooby doo fruit flavored snacks,blueberry banana tiny fruits freeze dried snacks,annie s bunny fruit snacks variety,teensy fruits baby fruit snacks berry","[50, 92, 50, 92]","[19, 18, 19, 18]","[115, 849, 939, 777]"
257,key lime soda,77,7,"vanilla cream soda,lime sherbet,soda,key lime moisture shave","[77, 37, 77, 55]","[7, 1, 7, 11]","[230, 344, 196, 957]"
258,vegetable pot pie,38,1,"organic vegetable tray,nasaflo neti pot sinus relief with premixed,cherry pie,vegetable pie in a pocket sandwich","[83, 11, 8, 38]","[4, 11, 3, 1]","[784, 603, 874, 932]"
259,imported italian solid light tuna in pure olive oil,95,15,"argan oil of morocco renewing weightless healing dry oil hair oil,town house sea salt olive oil flatbread crisps,foldit flatbreads artisan rosemary olive oil,organic red wine olive oil dressing organic","[22, 78, 128, 89]","[11, 19, 3, 13]","[214, 683, 660, 65]"
260,cantaloupe,24,4,"riesling mosel ,tennessee whiskey,whole wheat spanakopita, up","[62, 124, 129, 77]","[5, 5, 1, 7]","[551, 234, 360, 530]"
261,organic southwestern burrito,38,1,"organic roasted garlic vinaigrette dressing organic, whole wheat flour burrito tortillas,the santa cruz burrito,organic southwestern vegetable soup","[89, 128, 38, 69]","[13, 3, 1, 15]","[962, 737, 669, 644]"
262,petite dill pickles,110,13,"petite brussels sprouts,petite green peas,kosher dill babies,garlic barrel pickles","[116, 116, 110, 110]","[1, 1, 13, 13]","[436, 969, 537, 710]"
263,red food color,97,13,"tri color tortilla strips,red roses,lasting color shampoo,natural food color packets","[89, 87, 22, 17]","[13, 17, 11, 13]","[539, 573, 55, 323]"
264,non fat blueberry on the bottom greek yogurt,120,16,"opa greek yogurt ranch dressing,seasonal oikos greek yogurt,tzatziki greek yogurt dip,honey vanilla greek yogurt","[89, 120, 67, 120]","[13, 16, 20, 16]","[392, 946, 353, 459]"
265,glass storage container with green silicone protection,85,17,"easy grab x oblong glass bakeware,take alongs twist seal liquid storage,cavity protection regular flavor toothpaste,glass bottles","[10, 85, 20, 77]","[17, 17, 11, 7]","[105, 538, 976, 839]"
266,rio berry,64,7,"ginger berry kombucha,double berry cheesecake,waffles red berry,extra strength berry","[31, 37, 121, 64]","[7, 1, 14, 7]","[875, 672, 252, 345]"
267,triple chocolate ripple,37,1,"banana chocolate chip,cookie chips crunchy dark chocolate chocolate chip cookies,triple acting laundry stain remover,triple chocolate snack size","[52, 61, 75, 45]","[1, 19, 17, 19]","[602, 559, 246, 227]"
268,sponge mop,114,17," up,econet recycled bath sponge,euro sponge cloths,sponge blossoms","[77, 109, 114, 114]","[7, 11, 17, 17]","[530, 229, 828, 674]"
269,stuffed crust five cheese pizza,79,1,"thin crispy crust pepperoni pizza,crispy thin crust white pizza,ristorante pizza spinaci thin crust pizza,four cheese pizza frozen sandwiches","[79, 79, 79, 129]","[1, 1, 1, 1]","[571, 926, 356, 735]"
270,onezip storage bags quart size value pack,85,17,"chai tea bags,swaddlers diapers jumbo pack size newborn,cruisers diapers jumbo pack size ,snack bags","[94, 56, 56, 87]","[7, 18, 18, 17]","[281, 765, 682, 274]"
271,tai pei oz sweet sour chkn,38,1,"keebler sandies cashew oz,designer oz paper cups,baked rice crisps sour cream wasabi medium, oz cold cups","[61, 111, 78, 111]","[19, 17, 19, 17]","[658, 496, 902, 415]"
272,propolis herbal supplement,47,11,"echinacea elderberry organic herbal tea,super slimming herbal tea,fiber g gummy dietary supplement,brambleberry herbal tea","[94, 94, 70, 94]","[7, 7, 11, 7]","[942, 348, 462, 237]"
273,thin stackers brown rice salt free,107,19,"onion herb salt free seasoning blend,chunky beef with vegetables brown rice dog food,chicken brown rice formula cat food,salt free seasoning","[104, 40, 41, 104]","[13, 8, 8, 13]","[908, 377, 597, 463]"
274,snack bags,87,17,"zipper bags sandwich ct,triple chocolate snack size,chai tea bags,snack size candy","[85, 45, 94, 45]","[17, 19, 7, 19]","[968, 227, 281, 630]"
275,caramel sauce,103,19,"black salt caramel dark chocolate bar,chocolate caramel whey protein bar,mascarpone pistachio caramel gelato,salted caramel ice cream","[45, 3, 37, 37]","[19, 19, 1, 1]","[921, 370, 497, 606]"
276,french vanilla ice cream,37,1,"salted caramel ice cream,international cafe french vanilla mix,vanilla orange swirl ice cream,ice cream cookies cream","[37, 26, 37, 37]","[1, 7, 1, 1]","[606, 420, 944, 431]"
277,diet root beer,77,7,"super dry beer,diet dr pepper bottles,beer ipa,lite beer","[27, 77, 27, 27]","[5, 7, 5, 5]","[379, 695, 736, 470]"
278,instant mashed potatoes,4,9,"organic yummy tummy maple brown sugar instant oatmeal,gold potatoes,in gravy with carrots peas corn mashed potatoes meatloaf nuggets,turkey meatloaf mashed potatoes","[92, 83, 92, 38]","[18, 4, 18, 1]","[106, 306, 524, 518]"
279,everyday detox dandelion tea,94,7,"everyday mega pack paper plates,tea temples green tea with mint,purifying daily detox scrub, ply everyday napkins","[111, 94, 109, 54]","[17, 7, 11, 17]","[428, 560, 133, 859]"
280,makeup remover cleansing towelettes,73,11,"pods spring meadow detergent stain remover brightener,triple acting laundry stain remover,calcium lime rust remover,laundry soil stain remover","[75, 75, 114, 75]","[17, 17, 17, 17]","[724, 246, 816, 416]"
281,chai tea bags,94,7,"snack bags,wild raspberry hibiscus caffiene free herbal tea bags,organic smooth move chamomile laxative tea bags,sweet chai of mine chai tea bags","[87, 94, 94, 94]","[17, 7, 7, 7]","[274, 808, 880, 721]"
282,oh my cod cod pate and vegetables cat food,40,8,"salmon and tuna formula dry cat food,chicken brown rice formula cat food,sliced chicken entree cat food,cat food premium adult cat formula","[41, 41, 41, 41]","[8, 8, 8, 8]","[970, 597, 442, 848]"
283,organic whole wheat elbows,131,9,"whole wheat spanakopita,organic thin sliced whole wheat bread,whole wheat tortillas,organic whole wheat rigatoni","[129, 112, 128, 131]","[1, 3, 3, 9]","[360, 566, 58, 774]"
284,organic spicy heirloom marinara sauce,9,9,"medium spicy butter chicken simmer sauce,spicy tomato basil pasta sauce,heirloom boysenberries,wild sardines in marinara sauce","[9, 9, 116, 95]","[9, 9, 1, 15]","[191, 640, 803, 187]"
285,mini nilla wafers munch pack,61,19,"red sweet mini pepper,golden cupcakes pack,whole wheat mini toasts,banana sweet potato organic teething wafers","[100, 61, 78, 92]","[21, 19, 19, 18]","[991, 569, 681, 63]"
286,lite poppy seed dressing lite,89,13,"dressing bleu cheese,lite whipped topping,lite beer,poppy seed bagels","[89, 119, 27, 93]","[13, 1, 5, 3]","[163, 582, 470, 245]"
287,turkey,96,20,"ground turkey chub,organic turkey burgers,turkey chili,original turkey","[34, 49, 1, 96]","[1, 12, 20, 20]","[118, 23, 554, 176]"
288,original sprouted grains protein fiber hot oatmeal,130,14,"original turkey,organic sprouted barley bread,sprouted kale cracker,salted caramel lean protein fiber bar","[96, 112, 78, 3]","[20, 3, 19, 19]","[176, 108, 103, 25]"
289, juice no sugar added fruit punch,98,7,"sugar free fruit juicy red drink mix,no sugar added the original fudge pops,fruit punch juice drink,organic fruit punch","[90, 37, 98, 98]","[7, 1, 7, 7]","[842, 758, 945, 646]"
290,organic peppermint lemonade,31,7,"peppermint banana split variety pack frozen dairy dessert cones,sparkling raspberry lemonade water beverage,liquid drink mix blackberry lemonade,lemonade flavor drink mix","[37, 115, 90, 90]","[1, 7, 7, 7]","[313, 334, 385, 763]"
291,mint dental floss,20,11,"mint chocolate flavored syrup,sugar free mint patties,small medium dental dog treats,no wax floss classic ","[103, 45, 40, 20]","[19, 19, 8, 11]","[16, 382, 21, 867]"
292,fresh multi purpose contact lens solution,44,11,"fresh scent dishwasher cleaner,totality multi symptom relief,fresh oj,lemon fresh multi surface cleaner","[74, 44, 98, 114]","[17, 11, 7, 17]","[14, 819, 628, 732]"
293,prime filets chicken tuna dinner in gravy cat food,41,8,"cat food premium adult cat formula,chicken brown rice formula cat food,sliced chicken entree cat food,salmon and tuna formula dry cat food","[41, 41, 41, 41]","[8, 8, 8, 8]","[848, 597, 442, 970]"
294,minis original saltine crackers,78,19,"original turkey,minis candy bars,water crackers original all natural,original minis pretzel chips","[96, 45, 78, 107]","[20, 19, 19, 19]","[176, 207, 363, 678]"
295,chewables extra strength cherry creme ct,70,11,"protein shake organic banana creme,cherry pie,extra strength melatonin adult gummies,extra strength berry","[64, 8, 47, 64]","[7, 3, 11, 7]","[911, 874, 251, 345]"
296,for men odor armor body wash,127,11,"refreshing ocean breeze body wash,antioxidant cranberry body wash,moisturizing lavender body wash,lavender body wash","[127, 25, 25, 25]","[11, 11, 11, 11]","[823, 441, 878, 474]"
297,write bros ball point pens cap pen medium mm black ink,100,21,"chinese breakfast black tea,cat treats hair ball control chicken,black currant kombucha,black peppercorns","[94, 41, 31, 104]","[7, 8, 7, 13]","[233, 779, 336, 481]"
298,brisk with lemon iced tea,94,7,"organic lemon gingersnap,tea temples green tea with mint,vanilla with almond milk iced coffee,organic chamomile lemon tea","[61, 94, 26, 94]","[19, 7, 7, 7]","[331, 560, 69, 97]"
299,organic apple spinach kale coconut water superjuice,98,7,"sprouted kale cracker,spinach pesto,reg organic apple cider vinegar fl oz,pure coconut water with orange","[78, 9, 19, 98]","[19, 9, 13, 7]","[103, 813, 404, 7]"
300,organic enriched unbleached white flour,17,13,"rice extra long grain enriched, whole wheat flour burrito tortillas,white chicken chili,fajita flour tortillas","[63, 128, 59, 128]","[9, 3, 15, 3]","[612, 737, 448, 705]"
301,biotin mcg maximum strength,47,11,"extra strength berry,biotin collagen shampoo,biotin super strength mcg tablets,biotin mcg","[64, 22, 47, 47]","[7, 11, 11, 11]","[345, 523, 656, 42]"
302,gourmet dog treats bone,40,8,"t bone steak,snack sticks chicken rice recipe dog treats,small medium dental dog treats,chicken meatballs dog treats","[122, 40, 40, 40]","[12, 8, 8, 8]","[175, 722, 21, 236]"
303,candy original,45,19,"minis candy bars,snack size candy,original puffcorn,original turkey","[45, 45, 107, 96]","[19, 19, 19, 20]","[207, 630, 631, 176]"
304,dry roasted pistachios,117,19,"roasted vegetable soufflé,dry nose oil,dry pasta lasagne,super dry beer","[38, 11, 131, 27]","[1, 11, 9, 5]","[206, 6, 913, 379]"
305,wild forest raw neem honey,29,13,"honey mustard,organic raw almond butter,nutrition bar raw organic pineapple almond raw protein,cayenne lemonade made with raw tristate honey","[72, 88, 3, 31]","[13, 13, 19, 7]","[254, 558, 657, 221]"
306,gold potatoes,83,4,"cut russet potatoes steam n mash,turkey meatloaf mashed potatoes,instant mashed potatoes,organic yukon gold potato bag","[116, 38, 4, 83]","[1, 1, 9, 4]","[8, 518, 278, 391]"
307,precious mozzarella cheese,21,16,"cheese creations four cheese cheese sauce,organic mozzarella,string cheese mozzarella, natural string cheese mozzarella cheese","[9, 21, 108, 21]","[9, 16, 16, 16]","[341, 617, 217, 505]"
308,advanced haircare color vibrancy nourishing shampoo,22,11,"natural food color packets,red food color,shampoo baby shampoo,lasting color shampoo","[17, 97, 102, 22]","[13, 13, 18, 11]","[323, 263, 956, 55]"
309,graduates lil entrees spiral pasta in turkey meat sauce with green yellow beans,92,18," yellow american cheese,traditional lasagna with meat sauce savory italian recipes,turkey,graduates lil meals spaghetti rings in meat sauce","[2, 38, 96, 92]","[16, 1, 20, 18]","[98, 36, 287, 873]"
310,crackers puffed corn quinoa sesame,78,19,"supreme pretzel crackers,traditional water crackers,cream style corn,thin cakes puffed multigrain","[107, 78, 81, 78]","[19, 19, 15, 19]","[615, 145, 664, 675]"
311,naturals savory turkey breakfast sausage,52,1,"sausage gravy biscuit,turkey chili,original turkey,turkey","[52, 1, 96, 96]","[1, 20, 20, 20]","[688, 554, 176, 287]"
312,juicing carrots,83,4,"in gravy with carrots peas corn mashed potatoes meatloaf nuggets,starting solids carrots organic baby food,organic whole peeled baby carrots,honey glazed carrots","[92, 92, 123, 116]","[18, 18, 4, 1]","[524, 509, 343, 373]"
313,peppermint banana split variety pack frozen dairy dessert cones,37,1,"tasty treasures cat food variety pack,crunchy granola bars variety pack,gluten free oatmeal variety pack,oreo cookies and cream chocolate frozen dairy dessert","[41, 48, 130, 37]","[8, 14, 14, 1]","[528, 853, 216, 591]"
314,extra whitening multi benefit fluoride toothpaste,20,11,"extra sharp cheddar cheese,xyliwhite platinum mint toothpaste gel,cavity protection regular flavor toothpaste,extra strength berry","[21, 20, 20, 64]","[16, 11, 11, 7]","[169, 707, 976, 345]"
315,creamy italian dressing marinade,89,13,"dressing bleu cheese,italian pasta salad,bbq concentrate marinade sauce,for chicken marinade","[89, 1, 5, 5]","[13, 20, 13, 13]","[163, 209, 553, 807]"
316,revive anti perspirant deodorant,80,11,"dual action beta immune and anti oxidant effervescent citrus,anti diarrheal caplets,phoenix anti perspirant deodorant stick twin pack,advanced care skin renew anti perspirant deodorant","[11, 70, 80, 80]","[11, 11, 11, 11]","[413, 146, 393, 801]"
317,best grains honey crunch oat bread,112,3,"honey mustard,oatnut bread,healthy grains oats honey clusters with toasted coconut gluten free,sunflower bread","[72, 112, 57, 112]","[13, 3, 14, 3]","[254, 889, 812, 346]"
318,apple cinnamon crisp candle,101,17,"cinnamon pop ettes,all natural apple juice,yahrzeit light memorial candle,ceylon cinnamon","[61, 98, 33, 104]","[19, 7, 6, 13]","[733, 82, 338, 725]"
319,steamfresh chef s favorites lightly sauced roasted red potatoes green beans,116,1,"red roses,garbanzo beans,gold potatoes,dark red kidney beans","[87, 59, 83, 59]","[17, 15, 4, 15]","[573, 790, 306, 429]"
320,glycerine soap pure and natural cucumber,25,11,"tzatziki cucumber sauce,european cucumber, in soap for every man cucumber lemon,soap pure castile in hemp lavender","[67, 83, 25, 25]","[20, 4, 11, 11]","[198, 45, 152, 337]"
321,echinacea goldenseal alcohol free extract,47,11,"salt free seasoning,echinacea elderberry organic herbal tea,almond extract,alcohol free maple flavor","[104, 94, 47, 104]","[13, 7, 11, 13]","[463, 942, 958, 526]"
322,brooklyn pizza dough,79,1,"cookie dough performance energy,dough for turnover pastries,ristorante pizza spinaci thin crust pizza,pizza for one suprema frozen pizza","[3, 58, 79, 79]","[19, 1, 1, 1]","[183, 489, 356, 18]"
323,natural food color packets,17,13,"tri color tortilla strips,preference fade defying color shine system nb lightest natural blonde,lasting color shampoo,red food color","[89, 22, 22, 97]","[13, 11, 11, 13]","[539, 770, 55, 263]"
324,strong kind roasted jalapeno almond protein bar,3,19,"chocolate caramel whey protein bar,chocolate brownie flavor protein bar,almond honey protein bar,vanilla almond protein bar","[3, 3, 3, 3]","[19, 19, 19, 19]","[370, 387, 445, 406]"
325,veggie style mini corn dogs,42,1,"whole wheat mini toasts,organic ranch veggie dip,cream style corn,corn dogs mini honey crunchy flavor","[78, 67, 81, 129]","[19, 20, 15, 1]","[681, 147, 664, 154]"
326,deluxe sauce made with milk cheese macaroni cheese dinner,4,9,"cheese creations four cheese cheese sauce,vegan shells creamy sauce mac cheese macaroni cheese organic,spongebob shapes macaroni cheese dinner,deluxe white cheddar bacon macaroni cheese dinner","[9, 4, 4, 4]","[9, 9, 9, 9]","[341, 671, 592, 772]"
327,green peas organic petite,116,1,"apple green cups,petite brussels sprouts,petite dill pickles,petite green peas","[111, 116, 110, 116]","[17, 1, 13, 1]","[846, 436, 262, 969]"
328,disinfectant spray cherry blossom pomegranate scent,101,17,"go fresh nutrium moisture body wash blue fig orange blossom scent,cherry pie,strawberry pomegranate,disinfectant spray crisp linen scent","[127, 8, 3, 114]","[11, 3, 19, 17]","[351, 874, 983, 938]"
329,organic whole grassmilk milk,84,16,"kisses milk chocolate candy,organic fuel high protein milk shake vanilla,ultra filtered whole milk,organic blueberry pomegranate whole milk yogurt","[45, 65, 84, 120]","[19, 11, 16, 16]","[184, 795, 877, 584]"
330,chilpotles in adobo sauce,30,6,"traditional tartar sauce,tzatziki cucumber sauce,sloppy joe sauce,caramel sauce","[100, 67, 51, 103]","[21, 20, 13, 19]","[562, 198, 454, 275]"
331,organic lemon gingersnap,61,19,"lemon verbena bar soap,zero strawberry lemon,organic strawberry lemon ade,organic chamomile lemon tea","[25, 115, 31, 94]","[11, 7, 7, 7]","[835, 659, 399, 97]"
332,raspberry fig bars,3,19,"red raspberry jam,sparkling raspberry seltzer,peanut butter bars,whole wheat fig bar","[88, 115, 3, 48]","[13, 7, 19, 14]","[636, 44, 985, 457]"
333,basil daly bar soap,25,11,"spicy tomato basil pasta sauce,spinach basil garlic linguini,geranium daily bar soap,lemon verbena bar soap","[9, 12, 25, 25]","[9, 9, 11, 11]","[640, 76, 586, 835]"
334,sparkling raspberry lemonade water beverage,115,7,"kiwi strawberry sparkling water,apple sparkling juice beverage,roarin waters wild cherry water beverage,sparkling raspberry seltzer","[115, 98, 98, 115]","[7, 7, 7, 7]","[223, 618, 933, 44]"
335,blueberry kombucha,31,7,"blueberry blast bar,sparkling blueberry,black currant kombucha,ginger berry kombucha","[3, 77, 31, 31]","[19, 7, 7, 7]","[701, 456, 336, 875]"
336,black currant kombucha,31,7,"chinese breakfast black tea,black peppercorns,ginger berry kombucha,blueberry kombucha","[94, 104, 31, 31]","[7, 13, 7, 7]","[233, 481, 875, 335]"
337,soap pure castile in hemp lavender,25,11,"moisturizing lavender body wash,lavender body wash,hemp protein organic,glycerine soap pure and natural cucumber","[25, 25, 65, 25]","[11, 11, 11, 11]","[878, 474, 75, 320]"
338,yahrzeit light memorial candle,33,6,"light and fluffy blueberry pancake mix,light strawberry blueberry yogurt,light string cheese,apple cinnamon crisp candle","[130, 120, 21, 101]","[14, 16, 16, 17]","[565, 9, 852, 318]"
339,creamline yogurt wild blueberry,120,16,"non fat blueberry on the bottom greek yogurt,organic blueberry pomegranate whole milk yogurt,light strawberry blueberry yogurt,wild blueberry all natural fruit spread","[120, 120, 120, 88]","[16, 16, 16, 13]","[264, 584, 9, 149]"
340,eco pac kamut puffs cereal,121,14,"special k original cereal,peanut butter cereal,smorz cereal,cheerios cereal","[121, 121, 121, 121]","[14, 14, 14, 14]","[588, 34, 90, 365]"
341,cheese creations four cheese cheese sauce,9,9,"vegan shells creamy sauce mac cheese macaroni cheese organic,three cheese ravioli, natural string cheese mozzarella cheese,deluxe sauce made with milk cheese macaroni cheese dinner","[4, 12, 21, 4]","[9, 9, 16, 9]","[671, 642, 505, 326]"
342,complete health deboned chicken chicken meal and rice cat food,41,8,"chicken nugget meal,chicken liver paté canned cat food,sliced chicken entree cat food,chicken brown rice formula cat food","[38, 41, 41, 41]","[1, 8, 8, 8]","[185, 668, 442, 597]"
343,organic whole peeled baby carrots,123,4,"organic four bean feast baby food,honey glazed carrots,juicing carrots,starting solids carrots organic baby food","[92, 116, 83, 92]","[18, 1, 4, 18]","[744, 373, 312, 509]"
344,lime sherbet,37,1,"calcium lime rust remover,key lime moisture shave,key lime soda,clarified lime juice","[114, 55, 77, 17]","[17, 11, 7, 13]","[816, 957, 257, 609]"
345,extra strength berry,64,7,"waffles red berry,rio berry,chewables extra strength cherry creme ct,extra strength melatonin adult gummies","[121, 64, 70, 47]","[14, 7, 11, 11]","[252, 266, 295, 251]"
346,sunflower bread,112,3,"asiago cheese bread, whole wheat pita bread,oatnut bread,grape sunflower butter sunwiches","[21, 128, 112, 13]","[16, 3, 3, 20]","[856, 83, 889, 961]"
347,vegetable salad kit sweet kale,123,4,"just fruit salad,italian pasta salad,arugula salad,sprouted kale cracker","[50, 1, 123, 78]","[19, 20, 4, 19]","[870, 209, 142, 103]"
348,super slimming herbal tea,94,7,"holiday sugar plum spice herbal tea,sleepytime sinus soother herbal tea,echinacea elderberry organic herbal tea,brambleberry herbal tea","[94, 94, 94, 94]","[7, 7, 7, 7]","[410, 452, 942, 237]"
349,organic granulated tapioca,17,13,"organic mozzarella,organic roasted garlic vinaigrette dressing organic,pure cane granulated w spout sugar,pure granulated cane sugar","[21, 89, 17, 17]","[16, 13, 13, 13]","[617, 962, 495, 397]"
350,mixed pack lion s share ale,27,5,"golden cupcakes pack,jasmine tea unfiltered ginger ale,born yesterday pale ale,ground flaxseed with mixed berries","[61, 77, 27, 117]","[19, 7, 5, 19]","[569, 73, 430, 355]"
351,go fresh nutrium moisture body wash blue fig orange blossom scent,127,11,"even bright pink lemon and mandarin orange body wash,antioxidant cranberry body wash,moisturizing lavender body wash,lavender body wash","[127, 25, 25, 25]","[11, 11, 11, 11]","[376, 441, 878, 474]"
352,colby jack mild cheddar combo pack,21,16,"mild salsa divino,sharp cheddar,organic shredded mild cheddar,colby jack cheese slices","[51, 21, 21, 21]","[13, 16, 16, 16]","[107, 121, 781, 899]"
353,tzatziki greek yogurt dip,67,20,"opa greek yogurt ranch dressing,non fat blueberry on the bottom greek yogurt,seasonal oikos greek yogurt,honey vanilla greek yogurt","[89, 120, 120, 120]","[13, 16, 16, 16]","[392, 264, 946, 459]"
354,twist n loc small round containers lids,85,17,"double control small roach baits insecticide,small medium dental dog treats,take alongs twist seal liquid storage,unsalted pretzel round","[87, 40, 85, 107]","[17, 8, 17, 19]","[773, 21, 538, 532]"
355,ground flaxseed with mixed berries,117,19,"mixed pack lion s share ale, lean fat ground turkey ,ground turkey chub,flaxseed meal whole ground","[27, 49, 34, 17]","[5, 12, 1, 13]","[350, 782, 118, 952]"
356,ristorante pizza spinaci thin crust pizza,79,1,"thin crispy crust pepperoni pizza,crispy thin crust white pizza,stuffed crust five cheese pizza,pizza for one suprema frozen pizza","[79, 79, 79, 79]","[1, 1, 1, 1]","[571, 926, 269, 18]"
357,white writing gel,97,13,"white pearl onions,sensitive shave gel with aloe,thick gel toilet bowl cleaner,white chicken chili","[123, 55, 114, 59]","[4, 11, 17, 15]","[31, 949, 786, 448]"
358,frozen all butter pound cake,119,1,"chocolate fudge layer cake,marble cake slice, organic carrot cake,pound cake cake mix","[119, 8, 8, 105]","[1, 3, 3, 13]","[12, 750, 218, 362]"
359,deli thin sliced honey ham,96,20,"deli spicy brown mustard,premium deli hard salami,sliced american cheese,honey mustard","[72, 96, 21, 72]","[13, 20, 16, 13]","[977, 757, 769, 254]"
360,whole wheat spanakopita,129,1,"organic whole wheat elbows,organic whole wheat rigatoni,whole wheat loaves,whole wheat tortillas","[131, 131, 112, 128]","[9, 9, 3, 3]","[283, 774, 666, 58]"
361,day and night multi symptom and severe cold cough pain reliever fever reducer,11,11,"cold cough formula effervescent tablets citrus,nyquil severe cold flu,totality multi symptom relief,pain reliever and fever reducer cherry infant drops","[11, 11, 44, 11]","[11, 11, 11, 11]","[914, 845, 819, 759]"
362,pound cake cake mix,105,13,"chocolate fudge layer cake,marble cake slice, organic carrot cake,frozen all butter pound cake","[119, 8, 8, 119]","[1, 3, 3, 1]","[12, 750, 218, 358]"
363,water crackers original all natural,78,19,"candy original,original turkey,minis original saltine crackers,traditional water crackers","[45, 96, 78, 78]","[19, 20, 19, 19]","[303, 176, 294, 145]"
364,greener selection salad,123,4,"fruit salad gummi candy,just fruit salad,italian pasta salad,arugula salad","[45, 50, 1, 123]","[19, 19, 20, 4]","[776, 870, 209, 142]"
365,cheerios cereal,121,14,"wheat chex cereal,special k original cereal,peanut butter cereal,smorz cereal","[121, 121, 121, 121]","[14, 14, 14, 14]","[28, 588, 34, 90]"
366,vitamin c mg tropical drink mix dietary supplement,47,11,"fish oil with vitamin d mg,fiber g gummy dietary supplement,pink vitamin c mg pink lemonade drink mix,vitamin b mg","[47, 70, 47, 47]","[11, 11, 11, 11]","[905, 462, 408, 876]"
367,ultimate omega mg lemon soft gels,47,11,"ibuprofen liquid gels,aspirin mg,vitamin b mg,norwegian salmon oil omega s epa dha dietary supplement soft gels mg","[133, 133, 47, 47]","[11, 11, 11, 11]","[455, 499, 876, 620]"
368,fabric softener dryer sheet free gentle ct fabric enhancers,75,17,"unstopables downy unstopables dreams in wash scent booster fabric enhancer oz fabric enhancers,beach sage liquid fabric softener,mountain stream fabric softener,fabric softener geranium scent","[75, 75, 75, 75]","[17, 17, 17, 17]","[797, 434, 843, 111]"
369,new mexico chili,30,6,"new england clam chowder condensed soup,hot chopped green chili,white chicken chili,turkey chili","[69, 104, 59, 1]","[15, 13, 15, 20]","[929, 998, 448, 554]"
370,chocolate caramel whey protein bar,3,19,"salted caramel lean protein fiber bar,almond honey protein bar,chocolate brownie flavor protein bar,vanilla almond protein bar","[3, 3, 3, 3]","[19, 19, 19, 19]","[25, 445, 387, 406]"
371,juniper berry soda,77,7,"rio berry,key lime soda,vanilla cream soda,soda","[64, 77, 77, 77]","[7, 7, 7, 7]","[266, 257, 230, 196]"
372,moisture rich sweet orange argan conditioner,22,11,"go fresh nutrium moisture body wash blue fig orange blossom scent,evercurl hydracharge conditioner,daily moisture shampoo,restorative biotin conditioner","[127, 22, 22, 22]","[11, 11, 11, 11]","[351, 384, 498, 730]"
373,honey glazed carrots,116,1,"organic honey mustard,organic whole peeled baby carrots,honey mustard,juicing carrots","[72, 123, 72, 83]","[13, 4, 13, 4]","[810, 343, 254, 312]"
374,sliced kosher salami,96,20,"sliced american cheese,olli napoli salami,uncured hard salami,kosher dill babies","[21, 96, 96, 110]","[16, 20, 20, 13]","[769, 138, 611, 537]"
375,multigrain spaghetti style pasta,131,9,"multigrain pop cakes,linguine no pasta,linguine pasta,organic spaghetti style pasta","[107, 131, 131, 131]","[19, 9, 9, 9]","[512, 972, 424, 33]"
376,even bright pink lemon and mandarin orange body wash,127,11,"for men odor armor body wash,antioxidant cranberry body wash,moisturizing lavender body wash,lavender body wash","[127, 25, 25, 25]","[11, 11, 11, 11]","[296, 441, 878, 474]"
